New Tripoli tab-delimited output of processed data for:
23-PP-5 z30 Pb-2399 in New Session-23-PP-5 z30 Pb-2399-report.tsv
produced on: 03/19/26 07:54:24

Data is presented by cycles.
Any discarded values are wrapped in &s.
Any missing values are represented as a blank entry.

Cycle            	Time             	204Pb            	205Pb            	206Pb            	207Pb            	208Pb            	204/205          	206/205          	207/205          	208/205          	206/207          	206/208          	207/208          	206/204          	207/204          	208/204          	alpha 204/206    	alpha 207/206    	alpha 208/206
19.0             	1103.761         	53.70809489      	106881.2633      	551806.6699      	27677.92612      	121374.9179      	5.025024335E-4   	5.162800784      	0.2589595713     	1.135605196      	19.93670579      	4.546299017      	0.2280366207     	10274.18066      	515.3399347      	2259.899893      	1.0              	-82.28403461     	368.6174678
20.0             	1139.674         	57.98014792      	106651.4413      	550365.7363      	27711.44175      	121051.4315      	5.43641485E-4    	5.160415365      	0.2598318542     	1.135019181      	19.86059554      	4.546544632      	0.2289228751     	9492.313421      	477.9470688      	2087.808256      	1.0              	-82.27584535     	367.2121248
21.0             	1412.969         	57.24005366      	105000.794       	541188.4968      	27176.85169      	119602.5427      	5.451392461E-4   	5.154137187      	0.2588252018     	1.139063222      	19.91358318      	4.524891232      	0.2272263706     	9454.716797      	474.7873203      	2089.490402      	1.0              	-82.25425582     	368.8347936
22.0             	1448.864         	57.47794677      	104768.2998      	540044.8396      	27124.20641      	119067.3119      	5.486196384E-4   	5.154658809      	0.2588970753     	1.136482238      	19.91006968      	4.535626371      	0.2278056503     	9395.687737      	471.9063212      	2071.530362      	1.0              	-82.25605159     	368.7185192
23.0             	1484.776         	56.60680924      	104747.504       	538765.9576      	27066.98226      	118686.187       	5.404120105E-4   	5.14347299       	0.2584021693     	1.133069357      	19.90491412      	4.539415844      	0.2280550328     	9517.688152      	478.1577098      	2096.676859      	1.0              	-82.21746276     	369.5204719
24.0             	1520.674         	56.22485652      	104468.6445      	537962.5152      	26995.31466      	118536.3429      	5.381983925E-4   	5.149511779      	0.2584059054     	1.134659529      	19.92799573      	4.538376181      	0.227738717      	9568.054924      	480.1313215      	2108.255143      	1.0              	-82.23831619     	369.5144064
25.0             	1556.576         	55.30349006      	104279.1897      	536818.194       	26925.34098      	118567.1526      	5.303406194E-4   	5.147893799      	0.2582043557     	1.137016436      	19.93728489      	4.527545634      	0.2270893784     	9706.76884       	486.8651319      	2143.936169      	1.0              	-82.2327337      	369.8418719
26.0             	1592.477         	56.97239836      	103818.8397      	535554.8081      	26835.9234       	118142.2598      	5.487674348E-4   	5.158551276      	0.2584879919     	1.137965519      	19.95663798      	4.533134959      	0.2271492305     	9400.250358      	471.0337668      	2073.67538       	1.0              	-82.26944056     	369.3811836
27.0             	1628.379         	54.1325704       	103497.7175      	533755.3411      	26728.21042      	117952.0232      	5.230315386E-4   	5.15717017       	0.2582492742     	1.139658208      	19.96973732      	4.525190212      	0.2266023904     	9860.151424      	493.7546882      	2178.947395      	1.0              	-82.26469226     	369.7688467
28.0             	1664.273         	55.68729886      	103268.8653      	532389.5869      	26684.7475       	117668.0455      	5.392457708E-4   	5.15537365       	0.258400704      	1.139433896      	19.95108206      	4.524504376      	0.2267798991     	9560.341368      	479.1891157      	2113.014061      	1.0              	-82.25851195     	369.5228508
