z,n,symbol,radius,unc_r,abundance,abundance_unc,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,Extraction_date
0,1,n,-0.1149,27, ,, ,0, , ,1/2+,613.9, ,6,s,613.9,0.6,B-,100, , , , , , , , ,-1.9130427, , , ,782.347,4, ,, ,, ,,0.0,0, ,,0,0,1008664.9159,47,8071.31806,44,2022-03-28
0,4,n, ,, ,, ,0, , ,0+,2.6,LT, ,MeV,1.7547604425822527e-22,0, , , , , , , , , , , , , , , , ,, , , ,, ,, ,, , , , , ,, ,2022-03-28
0,6,n, ,, ,, ,0, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,, ,, ,, , , , , ,, ,2022-03-28
1,0,H,0.8783,86,99.9855,78, ,0, , ,1/2+,STABLE, , , , , , , , , , , , , , , ,2.792847351, , , , ,, ,, ,,-782.347,0, ,,0.0,0,0,0,1007825.031898,14,7288.971064,13,2022-03-28
1,1,H,2.1421,88,0.0145,78, ,0, , ,1+,STABLE, , , , , , , , , , , , , , , ,0.85743823, ,0.00286, , ,, ,, ,, ,,2224.5662,4,2224.5662,4,1112.2831,2,2014101.777844,15,13135.722895,15,2022-03-28
1,2,H,1.7591,363, ,, ,0, , ,1/2+,12.32, ,2,Y,388781328.00697345,631138.51949184,B-,100, , , , , , , , ,2.978962467, , , ,18.59202,6, ,, ,, ,,6257.2301,4, ,,2827.2654,3,3016049.28132,8,14949.81090,8,2022-03-28
1,3,H, ,, ,, ,0, , ,2-, , , , , , ,N,100, , , , , , , ,1, , , , ,22196.2131,1000000,1618.5921,100, ,, ,,-1600.0000,100, ,,1720.4491,250000,4026431.867,107354,24621.129,100000,2022-03-28
1,4,H, ,, ,, ,0, , ,(1/2+),5.3, ,4,MeV,8.608258774931805e-23,6.4967990754202316e-24,2N,100, , , , , , , , , , , , ,21661.2131,916515,22396.2132,89, ,, ,,-200.0000,134, ,,1336.3592,178885,5035311.492,96020,32892.447,89443,2022-03-28
1,5,H, ,, ,, ,0, , , ,1.55, ,44,MeV,2.943469129492811e-22,8.355654303076366e-23, , , , , , , , , , , , , , ,24283.6294,2541268,22573.1725,255, ,, ,,-911.9594,269, ,,961.6395,423545,6044955.437,272816,41875.725,254127,2022-03-28
1,6,H, ,, ,, ,0, , ,(1/2+),0.09, ,+94-6,MeV,5.069307945237619e-21,2.816282191798677e-20, , , , , , , , , , , , , , ,23062,1004,23472,1004, ,, ,,812,1036, ,,940,143,7052749,1078,49135,1004,2022-03-28
2,1,He,1.9661,30,0.0002,2, ,0, , ,1/2+,STABLE, , , , , , , , , , , , , , , ,-2.127625306, , , ,-13736,2000, ,, ,,-18.592,0, ,,5493.4751,100,2572.68044,15,3016029.32197,6,14931.21888,6,2022-03-28
2,2,He,1.6755,28,99.9998,2, ,0, , ,0+,STABLE, , , , , , , , , , , , , , ,0, , , , ,-22898.274,2121320,-34313,2000,0,0,-22196.213,100,20577.6211,5,19813.8661,20,7073.9156,2,4002603.25413,16,2424.91587,15,2022-03-28
2,3,He, ,, ,, ,0, , ,3/2-,0.648, , ,MeV,7.040705479496693e-22,0,N, , , , , , , , ,1/2, , , , ,-447.6529,538516,-22163.2740,213,735,20,-21661.213,92,-735.0000,20,20678.8661,102,5512.1325,40000,5012057.224,21470,11231.234,20000,2022-03-28
2,4,He,2.0660,111, ,, ,0, , ,0+,806.7, ,15,ms,0.8067,0.0015,B-,100, , , , , , , ,1, , , , ,3505.2147,532,-2158.1098,50, ,,-24283.63,254,1710.4569,20,22589.3230,89,4878.5199,89,6018885.889,57,17592.095,53,2022-03-28
2,5,He, ,, ,, ,0, , ,(3/2)-,150, ,20,keV,3.0415847671425716e-21,4.0554463561900954e-22,N, , , , , , , , ,3/2, , , , ,11166.0229,75595,3914.9290,8, ,,-23061.872,1004,-409.7143,8,23091.5681,254,4123.0578,10799,7027990.652,8115,26073.128,7559,2022-03-28
2,6,He,1.9239,306, ,, ,0, , ,0+,119.1, ,12,ms,0.1191,0.0012,B-,100, ,B-N,16,1, , , ,2, , , , ,10663.8784,1005,8631.2602,887, ,, ,,2534.7627,8,24814,1004,3924.521,111,8033934.388,95,31609.683,89,2022-03-28
2,7,He, ,, ,, ,0, , ,1/2+, , , , , , ,N,100, , , , , , , ,5/2, , , , ,15980.9213,468169,11918.7038,47, ,, ,,-1254.8254,47, ,,3349.038,52018,9043946.414,50259,40935.826,46816,2022-03-28
2,8,He, ,, ,, ,0, , ,(0+),300, ,200,keV,1.5207923835712858e-21,1.0138615890475237e-21,N,100, , , , , , , ,3, , , , ,16144.5191,937152,16170.9236,93, ,, ,,-190.0023,104, ,,2995.134,92848,10052815.306,99676,49197.147,92848,2022-03-28
3,1,Li, ,, ,, ,0, , ,2-, , , , , , ,P,100, , , , , , , ,1, , , , , ,, ,, ,,22898.274,212,11415,2011,-3102.9999,212,1153.7603,530330,4027185.561,227733,25323.190,212132,2022-03-28
3,2,Li, ,, ,, ,0, , ,3/2-,1.23, , ,MeV,3.709249716027526e-22,0,P, , , , , , , , ,1/2, , , , ,-25460,2003, ,,1964.9999,50,447.653,54,21715.6211,218,-1964.9999,50,5266.1325,100000,5012537.8,53677,11678.887,50000,2022-03-28
3,3,Li,2.5890,390,4.85,171, ,0, , ,1+,STABLE, , , , , , , , , , , , , , ,0,0.82205667, ,-0.000818, ,-4288.1534,54478,-31123,2003,-1473.7583,15,-3505.215,53,5663.3245,50,4433.3246,20,5332.3312,3,6015122.88742,155,14086.88044,144,2022-03-28
3,4,Li,2.4440,420,95.15,171, ,0, , ,3/2-,STABLE, , , , , , , , , , , , , , ,1/2,3.2564268, ,-0.0406, ,-861.893,707,-11539.2472,5,-2467.6221,42,-11166.023,8,7251.0939,45,9973.9616,531,5606.4401,6,7016003.43426,450,14907.10463,419,2022-03-28
3,5,Li,2.3390,440, ,, ,0, , ,2+,839.9, ,9,ms,0.8399,0.0009,B-A,100, ,B-,100, , , , ,1,1.65356, ,0.0327, ,16004.1329,591,-2894.5112,850,-6100.2403,100,-10663.878,101,2032.6182,472,12416.2941,8,5159.7124,59,8022486.244,50,20945.805,47,2022-03-28
3,6,Li,2.2450,460, ,, ,0, , ,3/2-,178.3, ,4,ms,0.1783,0.0004,B-,100, ,B-N,50.8,0.2, , , ,3/2,3.4391, ,-0.0274, ,13606.4541,2014,11941.9153,1896,-10362.4579,89,-15980.921,47,4062.2175,1922,13943.7489,2064,5037.7685,207,9026790.191,200,24954.905,186,2022-03-28
3,7,Li, ,, ,, ,0,25, ,(1- 2-), , , , , , ,N,100, , , , , , , ,2, , , , ,20445.1411,127216,13632.8587,13,-11248.0128,254,-16144.519,94,-26.4045,13,15172.1698,49,4531.3512,12721,10035483.453,13656,33052.628,12721,2022-03-28
3,8,Li,2.4820,430, ,, ,0, , ,3/2-,8.75, ,14,ms,0.00875,0.00014,B-,100, ,B-5N, , , , , ,5/2,3.6673, , , ,20551.0898,6591,20049.4540,6201,-10832,1004, ,,395.6871,13,15757.8592,93,4155.3817,559,11043723.581,660,40728.259,615,2022-03-28
3,9,LI, ,, ,, ,0, , ,(1- 2-), , , , , , ,N,100, , , , , , , , , , , , ,23931.8152,300669,20761.0898,30, ,, ,,-210.0000,30, ,,3791.5999,25005,12052613.942,32213,49009.577,30006,2022-03-28
4,2,Be, ,, ,, ,0, , ,0+,92, ,6,keV,4.959105598602019e-21,3.234199303436099e-22,2P,100, ,A,100, , , , ,1, , , , ,-28945,2003, ,, ,,4288.154,5,26835,2003,592.8241,50,4487.2478,9080,6019726.409,5848,18375.034,5448,2022-03-28
4,3,Be,2.6460,160, ,, ,0, , ,3/2-,53.22, ,6,d,4598208,5184,EC,100, , , , , , , ,1/2, , , , ,-11907.5551,251504,-39622,2003,-1587.1371,708,861.893,71,10677.3542,5,5606.8539,709,5371.5487,101,7016928.714,76,15768.998,71,2022-03-28
4,4,Be, ,, ,, ,0, , ,0+,5.57, ,25,eV,8.190982317260066e-17,3.676383445807929e-18,A,100, , , , , , , ,0, , , , ,-17979.8973,10005,-30806.1992,25,91.8399,354,-16004.133,59,18898.6440,792,17254.4040,356,7062.4356,44,8005305.102,37,4941.672,35,2022-03-28
4,5,Be,2.5190,120,100, ,,0, , ,3/2-,STABLE, , , , , , , , , , , , , , ,1/2,-1.1778, ,0.05288, ,-1068.0349,8994,-19644.4361,10028,-2307.6989,20,-13606.454,201,1664.5388,843,16886.3247,898,6462.6693,85,9012183.062,82,11348.451,76,2022-03-28
4,6,Be,2.3550,170, ,, ,0, , ,0+,1.51E+6, ,4,Y,47650958221633.92,1262277038983.68,B-,100, , , , , , , ,1, , , , ,556.8759,822,-7880.3173,9009,-7409.5245,966,-20445.141,13,6812.2824,519,19636.3895,2031,6497.6306,81,10013534.692,86,12607.487,81,2022-03-28
4,7,Be,2.4630,150, ,, ,0, , ,1/2+,13.76, ,7,s,13.76,0.07,B-,100, ,B-A,3.1, ,B-P,0.00083, ,3/2,-1.6814, , , ,11509.4607,2380,55.2401,2382,-8320.8746,8,-20551.09,65,501.6358,2511,20164.4299,13,5952.5402,216,11021661.08,255,20177.169,238,2022-03-28
4,8,Be, ,0, ,, ,0, , ,0+,21.46, ,5,ms,0.02146,0.00005,B-,100, ,B-N,0.5,0.03, , , ,2, , , , ,11708.3636,23214,8338.7353,19086,-8956.8373,19106,-23931.816,30,3170.7254,19233,22939.4682,20051,5720.7223,1590,12026922.082,2048,25077.761,1909,2022-03-28
4,9,Be, ,, ,, ,0, , ,(1/2-),2.7E-21, ,18,s,2.7e-21,1.8e-21,N, , , , , , , , , , , , , ,17097.1315,102295,12218.3636,10,-9701.6627,48,-23321.815,71,-510.0000,10,22639.4682,32,5241.4359,7831,13036134.506,10929,33659.080,10180,2022-03-28
4,10,Be, ,, ,, ,0, , , ,4.35, ,17,ms,0.00435,0.00017,B-,100, ,B-N,81,4,B-2N,5,2, , , , , ,16290.8166,1339357,15321.2364,132,-11667.5601,162, ,,1775.8951,133,24315.3634,150,4993.8973,94461,14042892.92,141970,39954.502,132245,2022-03-28
4,11,Be, ,, ,, ,0, , ,(5/2+),0.58, ,20,MeV,7.866167501230788e-22,2.7124715521485475e-22,N,100, , , , , , , , , , , , ,20868.4411,1671256,18090.8166,167, ,, ,,-1800.0000,100, ,,4540.9708,110532,15053490.215,177990,49825.821,165797,2022-03-28
4,12,Be, ,, ,, ,0, , ,0+,0.8, ,2,MeV,5.702971438392321e-22,1.4257428595980803e-22,N,100, , , , , , , , , , , , ,20335.4399,1676075,20418.4411,167, ,, ,,450.0000,141, ,,4285.2851,103623,16061672.036,177990,57447.139,165797,2022-03-28
5,2,B, ,, ,, ,0, , ,(3/2-),801, ,20,keV,5.695851623862494e-22,1.4221851744975015e-23,P,100, , , , , , , ,3/2, , , , , ,, ,,-3415,2000,11907.555,25,27715,2003,-2012.5479,26,3558.7055,35929,7029712,27000,27676.553,25150,2022-03-28
5,3,B, ,, ,, ,0, , ,2+,770, ,3,ms,0.77,0.003,B+A,100, ,EC+B+,100, , , , ,1,1.0355, ,0.0683, ,-12142.7002,182704, ,,-4826.5368,212,17979.897,1001,12826.3018,25,136.3997,10024,4717.1551,1250,8024607.315,1073,22921.569,1000,2022-03-28
5,4,B, ,, ,, ,0, , ,3/2-,0.54, ,21,keV,8.448846575396032e-19,3.2856625570984566e-19,P,100, , , , , , , ,1/2, , , , ,-16494.4854,23195,-30719.1014,18,-1687.3169,50,1068.035,906,18576.4012,13470,-185.8431,9033,6257.0713,1003,9013329.645,969,12416.486,903,2022-03-28
5,5,B,2.4277,499,19.65,44, ,0, , ,3+,STABLE, , , , , , , , , , , , , , ,0,1.80064478, ,0.08472, ,-3648.0623,687,-24931.6787,21367,-4461.1857,150,-556.876,82,8437.1932,9027,6586.8113,779,6475.0835,15,10012936.862,16,12050.611,15,2022-03-28
5,6,B,2.4060,294,80.35,44, ,0, , ,3/2-,STABLE, , , , , , , , , , , , , , ,1/2,2.6886489, ,0.04065, ,-1981.6889,608,-15102.2829,714,-8664.3124,128,-11509.461,238,11454.2206,192,11228.7495,818,6927.7323,11,11009305.166,13,8667.708,12,2022-03-28
5,7,B, ,, ,, ,0, , ,1+,20.20, ,2,ms,0.0202,0.00002,B-,100, ,B-A,0.6,0.02, , , ,1,1.00306, ,0.0134, ,13369.3979,13214,-5351.3172,13228,-10001.3225,13223,-11708.363,2321,3369.6283,13215,14096.7420,13426,6631.2237,1101,12014352.638,1418,13369.398,1321,2022-03-28
5,8,B, ,, ,, ,0, , ,3/2-,17.33, ,17,ms,0.01733,0.00017,B-,100, ,B-5N,0.286, , , , ,3/2,3.1778, ,0.037, ,13436.9387,10001,8490.6300,10001,-10817.8729,10173,-17097.132,10,4878.7679,16572,15804.7845,21547,6496.4194,769,13017779.981,1073,16561.948,1000,2022-03-28
5,9,B, ,, ,, ,0, , ,2-,12.5, ,5,ms,0.0125,0.0005,B-,100, ,B-5N,6.1, , , , ,2, , , , ,20643.7926,212133,12467.3585,21,-11813.8576,25,-16290.816,134,969.5802,21,17284.3647,24,6101.6451,15152,14025404.01,22773,23663.686,21213,2022-03-28
5,10,B, ,, ,, ,0, , , ,9.93, ,7,ms,0.00993,0.00007,B-,100, ,B-5N,99.68, , , , , , , , , ,19084.2343,210442,17866.1681,21,-14195.795,21,-20868.442,167,2777.6245,30,18286.0941,134,5880.0438,14019,15031087.023,22575,28957.379,21029,2022-03-28
5,11,B, ,, ,, ,0, , , ,100,LT, ,keV,4.5623771507138576e-21,0,N,100, , , , , , , , , , , , ,23417.5656,248254,19167.2355,25,-14322.7938,39,-20335.44,168,-83.0012,15,20003.0929,168,5507.3535,15354,16039841.045,26373,37111.699,24566,2022-03-28
5,12,B, ,, ,, ,0, , ,(3/2-),5.08, ,5,ms,0.00508,0.00005,B-,100, ,B-N,63,1,B-2N,11,7, , , , , ,22684.4422,2048410,21950.8705,204,-15689.4889,216, ,,1466.6951,206,21019.7880,263,5269.6677,120061,17046931.399,219114,43716.322,204104,2022-03-28
5,13,B, ,, ,, ,0, , ,(2-), , , , , , ,N,100, , , , , , , , , , , , ,26873.3742,2063572,22689.4423,205, ,, ,,-5.0000,5, ,,4976.6306,113425,18055601.683,219180,51792.640,204165,2022-03-28
5,14,B, ,, ,, ,0, , ,3/2-,2.92, ,13,ms,0.00292,0.00013,B-,100, ,B-N,71.8, ,B-2N,16, , , , , , ,27356.4961,5344964,26779.6669,526, ,, ,,93.7073,564, ,,4719.6346,276507,19064166,564000,59770.251,525363,2022-03-28
5,15,B, ,, ,, ,0, , ,(1- 2-),500,LT, ,keV,9.124754301427716e-22,0,N,100, , , , , , , , , , , , ,31898.0019,5930377,28916.4961,555, ,, ,,-1560.0000,150, ,,4405.6529,273178,20074505.644,586538,69401.569,546357,2022-03-28
5,16,B, ,, ,, ,0, , ,(3/2-),600,LT, ,keV,7.603961917856429e-22,0,2N,100, , , , , , , , , , , , ,32740,817,32808.0020,604, ,, ,,-910.0000,242, ,,4152.5265,266031,21084147.485,599750,78382.887,558664,2022-03-28
6,2,C, ,, ,, ,0, , ,0+,130, ,50,keV,3.509520885164506e-21,1.3498157250632716e-21,2P,100, , , , , , , ,2, , , , , ,, ,, ,,12142.7,18, ,,-98.7453,31,3101.5242,22804,8037643.039,19584,35064.269,18243,2022-03-28
6,3,C, ,, ,, ,0, , ,3/2-,126.5, ,10,ms,0.1265,0.001,EC+B+,100, ,B+P,62,1.9,B+A,37.9,5.8,3/2,-1.3914, , , , ,, ,,-10653,2003,16494.485,232,14224.6160,18,1299.5688,23590,4337.4233,2374,9031037.202,2293,28910.971,2137,2022-03-28
6,4,C, ,, ,, ,0, , ,0+,19.290, ,12,s,19.29,0.012,EC+B+,100, , , , , , , ,1, , , , ,-23101.3545,4000000, ,,-5101.2767,5,3648.062,72,21283.6164,21378,4006.7840,9054,6032.0426,70,10016853.217,75,15698.673,70,2022-03-28
6,5,C, ,, ,, ,0, , ,3/2-,20.364, ,14,m,1221.84,0.84,EC+B+,100, , , , , , , ,1/2,-0.964, ,0.03426, ,-13716.2469,50008,-36221.9485,400,-7544.5165,926,1981.689,61,13120.5940,922,8690.1847,615,6676.4563,54,11011432.597,64,10649.397,60,2022-03-28
6,6,C,2.4702,22,98.94,6, ,0, , ,0+,STABLE, , , , , , , , , , , , , , ,0, , , , ,-17338.0681,9999,-32436.9620,5,-7366.5875,354,-13369.398,1321,18720.7151,596,15956.6792,121,7680.1446,2,12000000,0,0.0,0,2022-03-28
6,7,C,2.4614,34,1.06,6, ,0, , ,1/2-,STABLE, , , , , , , , , , , , , , ,1/2,0.7024118, , , ,-2220.4718,2695,-22284.3768,9999,-10648.3575,765,-13436.939,10,4946.3087,5,17533.3596,13214,7469.8495,2,13003354.83534,25,3125.00933,23,2022-03-28
6,8,C,2.5025,87, ,, ,0, , ,0+,5700, ,30,Y,179874478055.1744,946707779.23776,B-,100, , , , , , , ,1, , , , ,156.4765,37,-10396.9059,2696,-12012.5091,810,-20643.793,21,8176.4341,38,20831.0258,10001,7520.3198,4,14003241.98862,403,3019.89328,375,2022-03-28
6,9,C, ,, ,, ,0, , ,1/2+,2.449, ,5,s,2.449,0.005,B-,100, , , , , , , ,3/2,1.32, , , ,9771.7071,8000,-1061.5897,8000,-12728.9395,8346,-19084.234,21,1218.0662,8000,21079.5118,21,7100.1696,533,15010599.256,858,9873.145,800,2022-03-28
6,10,C, ,, ,, ,0, , ,0+,0.747, ,8,s,0.747,0.008,B-,100, ,B-N,99,0.3, , , ,2, , , , ,8010.226,42540,5521.3770,4,-13808.5442,4,-23417.566,25,4250.3301,4,22552.2174,21,6922.0546,2236,16014701.255,3840,13694.133,3578,2022-03-28
6,11,C, ,, ,, ,0, , ,3/2+,193, ,6,ms,0.193,0.006,B-,100, ,B-N,26,1.8, , , , , , , , ,13161.8007,229464,7276.6542,18,-15052.1159,20,-22684.442,205,733.5717,18,23368.7903,30,6558.0262,10215,17022578.65,18641,21031.880,17365,2022-03-28
6,12,C, ,, ,, ,0, , ,0+,92, ,2,ms,0.092,0.002,B-,100, ,B-N,31.5,1.5, , , ,3, , , , ,11806.0982,352821,8977.8688,34,-17460.1527,136,-26873.374,206,4183.9319,35,26086.0271,206,6426.1321,16667,18026751.93,32206,24919.266,30000,2022-03-28
6,13,C, ,, ,, ,0, , ,(1/2+),46.3, ,40,ms,0.0463,0.004,B-,100, ,B-N,47,3,B-2N,7,3, , , , , ,16557.4995,997475,11229.2690,100,-19836.982,193,-27356.497,534,576.8292,94,26667.8564,227,6118.274,51784,19034797.594,105625,32413.754,98389,2022-03-28
6,14,C, ,, ,, ,0, , ,0+,16.3, ,+40-35,ms,0.0163,0.00375,B-,100, ,B-N,65,18,B-2N,18.6, , , , , , ,15737.0689,2437459,13575.9936,231,-22368.4878,284,-31898.002,593,2981.5058,251,29555.6549,574,5961.4356,115312,20040261.732,247585,37503.567,230625,2022-03-28
6,16,C, ,, ,, ,0, , ,0+,6.1, ,+14-12,ms,0.0061,0.0013,B-,100, ,B-N,61, ,B-2N,37, , , , , , ,21846.3983,3110627,20307.9695,268, ,, ,,103,640,32060.6549,605,5421.0778,105223,22057553.99,248515,53611.203,231490,2022-03-28
7,3,N, ,, ,, ,0, , ,(1-),2.5, ,+20-15,MeV,1.8249508602855427e-22,1.2774656021998798e-22,P,100, , , , , , , ,2, , , , , ,, ,,-10945,2042,23101.354,400, ,,-2600.0851,400,3643.6724,400000,10041653.54,429417,38800.027,400000,2022-03-28
7,4,N, ,, ,, ,0, , ,1/2+,830, ,30,keV,5.496839940619106e-22,1.986809617091243e-23,P,100, , , , , , , ,3/2, , , , ,-23373.2693,602459, ,,-5735.8247,26,13716.247,5,22505.7016,400,-1377.9999,5,5358.4023,4546,11026157.593,5368,24365.644,5000,2022-03-28
7,5,N, ,, ,, ,0, , ,1+,11.000, ,16,ms,0.011,0.000016,EC+B+,100, ,B+A,1.93,0.04, , , ,1,0.4571, ,0.0098, ,-14675.2668,120418,-38472.1632,60,-8008.4167,14140,17338.068,10,15098.8939,5,600.3000,10017,6170.11,833,12018613.18,1073,17338.068,1000,2022-03-28
7,6,N, ,, ,, ,0, , ,1/2-,9.965, ,4,m,597.9,0.24,EC+B+,100, , , , , , , ,1/2,0.3222, , , ,-17769.9506,95301,-34739.1719,12,-9495.9206,9420,2220.472,27,20063.9051,10356,1943.4900,2695,7238.8634,207,13005738.609,289,5345.481,270,2022-03-28
7,7,N,2.5582,70,99.6205,247, ,0, , ,1+,STABLE, , , , , , , , , , , , , , ,0,0.403761, ,0.0193, ,-5144.3643,252,-28323.3329,10,-11612.1097,149,-156.476,4,10553.3823,2695,7550.5636,10,7475.6148,2,14003074.00425,24,2863.41683,22,2022-03-28
7,8,N,2.6058,80,0.3795,247, ,0, , ,1/2-,STABLE, , , , , , , , , , , , , , ,1/2,-0.28318884, , , ,-2754.1841,4902,-15977.6611,252,-10991.1859,121,-9771.707,8,10833.2968,8,10207.4263,38,7699.4603,2,15000108.89827,62,101.43809,58,2022-03-28
7,9,N, ,, ,, ,0, , ,2-,7.13, ,2,s,7.13,0.02,B-,100, ,B-A,0.0012,0.0005, , , ,1, , , , ,10420.9094,23014,-5243.0331,23530,-10110.4066,26538,-8010.226,4,2488.8490,23014,11478.2090,24365,7373.7971,1438,16006101.925,2470,5683.907,2301,2022-03-28
7,10,N, ,, ,, ,0, , ,1/2-,4.173, ,4,s,4.173,0.004,B-,100, ,B-N,95.1,0.7,B-A,0.0025, ,3/2, , , , ,8678.843,150000,4535.7629,15,-11116.7852,15,-13161.801,23,5885.1465,15,13113.0255,15,7286.2294,8824,17008448.876,16103,7870.079,15000,2022-03-28
7,11,N, ,, ,, ,0, , ,1-,619, ,2,ms,0.619,0.002,B-,100, ,B-A,12.2,0.6,B-N,12,1.3,2,0.3273, ,0.0123, ,13895.9838,185695,5850.6136,19,-12975.4343,28,-11806.099,35,2828.2294,24,15207.6831,25,7038.5627,10316,18014077.563,19935,13113.167,18570,2022-03-28
7,12,N, ,, ,, ,0, , ,1/2-,336, ,3,ms,0.336,0.003,B-,100, ,B-N,41.8,0.9, , , , ,0.305, , , ,12523.3972,166143,8567.7533,16,-15526.0403,27,-16557.499,100,5328.2305,25,16351.9817,34,6948.5452,8634,19017022.389,17610,15856.255,16404,2022-03-28
7,13,N, ,, ,, ,0, , ,(2-),134.4, ,37,ms,0.1344,0.0037,B-,100, ,B-N,42.9,1.4, , , , , , , , ,17970.3261,788991,10362.3220,79,-17770.1168,83,-15737.069,244,2161.0753,81,17936.2277,126,6709.1717,39447,20023367.295,84696,21766.498,78894,2022-03-28
7,14,N, ,, ,, ,0, , ,(1/2-),84, ,7,ms,0.084,0.007,B-,100, ,B-N,86,4, , , , , , , , ,17169.8816,1345840,13364.4256,134,-20909.3222,244,-20411.085,611,4605.9005,156,19560.6224,267,6609.0159,63832,21027087.573,143906,25231.915,134048,2022-03-28
7,15,N, ,, ,, ,0, , ,(0-),23, ,3,ms,0.023,0.003,B-,100, ,B-N,34,3,B-2N,12,3, , , , , ,22481.7725,2154350,15631.4527,208,-22452.7511,291,-21846.398,311,1538.4289,247,21167,631,6378.5347,94445,22034100.918,223060,31764.805,207779,2022-03-28
7,16,N, ,, ,, ,0, , , ,14.1, ,+12-13,ms,0.0141,0.00125,B-,100, ,B-N,42,6,B-2N,8,4, , , , , ,22099.0584,4378271,19366.0789,424,-25474.7374,673, ,,3115.6936,469,24179.7450,480,6236.6721,182856,23039421,451500,36720.429,420570,2022-03-28
7,17,N, ,, ,, ,0, , , ,52,LT, ,ns,0.000000052, ,N, , , , , , , , , , , , , ,28438,433,24245,419,-24888,677, ,,-2146,581,24522,1074,5887,17,24050390,430,46938,401,2022-03-28
8,3,O, ,, ,, ,0, , ,(3/2-),1.30, , ,MeV,3.5095208851645054e-22,0,2P,100, , , , , , , , , , , , , ,, ,, ,,23373.269,60, ,,-1649.9147,404,3162.4372,54580,11051249.828,64453,47738.913,60038,2022-03-28
8,4,O, ,, ,, ,0, , ,0+,72,LT, ,keV,6.3366349315470245e-21,0,2P,100, , , , , , , ,2, , , , , ,, ,,-5475.8501,22,14675.267,12,23796.8964,61,-358.7199,13,4881.9755,10000,12034367.726,12882,32013.335,12000,2022-03-28
8,5,O, ,, ,, ,0, , ,(3/2-),8.58, ,5,ms,0.00858,0.00005,B+P,100, ,EC+B+,100, , , , ,3/2, , , , ,-18915,500, ,,-8220.4554,10,17769.951,10,16969.2213,15,1511.6075,10,5811.7636,7328,13024815.435,10226,23115.432,9526,2022-03-28
8,6,O, ,, ,, ,0, , ,0+,70.606, ,18,s,70.606,0.018,EC+B+,100, , , , , , , ,1, , , , ,-23956.6215,411187,-42093,500,-10115.8076,747,5144.364,25,23178.9686,10,4626.6710,2707,7052.2783,18,14008596.706,27,8007.781,25,2022-03-28
8,7,O, ,, ,, ,0, , ,1/2-,122.24, ,16,s,122.24,0.16,EC+B+,100, , , , , , , ,1/2,0.7189, , , ,-13711.13,140086,-37180.0986,41,-10218.6907,4938,2754.184,49,13223.4770,4908,7296.7657,4902,7463.6915,327,15003065.636,526,2855.622,490,2022-03-28
8,8,O,2.6991,52,99.757,11, ,0, , ,0+,STABLE, , , , , , , , , , , , , , ,0, , , , ,-15412.184,53642,-29375.0724,14,-7161.918,0,-10420.909,2301,15663.9424,4902,12127.4113,0,7976.2072,2,15994914.61926,32,-4737.00217,30,2022-03-28
8,9,O,2.6932,75,0.03835,96, ,0, , ,5/2+,STABLE, , , , , , , , , , , , , , ,1/2,-1.893543, ,-0.02558, ,-2760.4655,2479,-19555.2641,5,-6358.6894,7,-8678.843,15,4143.0801,0,13781.6425,23014,7750.7291,2,16999131.75595,69,-808.76421,64,2022-03-28
8,10,O,2.7726,56,0.2045,102, ,0, , ,0+,STABLE, , , , , , , , , , , , , , ,1, , , , ,-1655.9288,4633,-10805.8357,2479,-6227.6255,38,-13895.983,19,8045.3702,10,15941.8662,15,7767.0981,2,17999159.61214,69,-782.81634,64,2022-03-28
8,11,O, ,, ,, ,0, , ,5/2+,26.88, ,5,s,26.88,0.05,B-,100, , , , , , , ,3/2, , , , ,4820.3029,26370,-5611.5727,26774,-8965.2032,27556,-12523.397,17,3955.6439,26370,17069.2807,19,7566.4952,1388,19003577.969,2830,3332.858,2637,2022-03-28
8,12,O, ,, ,, ,0, , ,0+,13.51, ,5,s,13.51,0.05,B-,100, , , , , , , ,2, , , , ,3813.6349,8854,-2787.7012,8849,-12322.8773,4,-17970.326,79,7608.0042,27815,19349.0544,16,7568.5707,442,20004075.357,950,3796.172,885,2022-03-28
8,13,O, ,, ,, ,0, , ,(5/2+),3.42, ,10,s,3.42,0.1,B-,100, , , , , , , , , , , , ,8109.639,121342,8.1790,12,-15394.7616,21,-17169.881,135,3805.4560,12,20993.4351,80,7389.3747,5714,21008654.948,12882,8062.034,12000,2022-03-28
8,14,O, ,, ,, ,0, , ,0+,2.25, ,9,s,2.25,0.09,B-,100, ,B-N,22, , , , , , , , , ,6489.6562,582558,1259.3192,57,-18061.1494,64,-22481.773,215,6850.3198,58,23237.8544,146,7364.8722,25873,22009965.744,61107,9283.032,56921,2022-03-28
